L,,,,,,R,,,,,
高速顺时针,中速顺时针,低速顺时针,高速逆时针,中速逆时针,低速逆时针,高速顺时针,中速顺时针,低速顺时针,高速逆时针,中速逆时针,低速逆时针
27.7031,12.1894,6.09469,-27.7031,-6.09469,-6.09469,-22.1625,-18.2841,-5.54063,33.2438,11.0813,6.09469
30.4734,11.0813,11.0813,-24.3788,-11.0813,-5.54063,-24.3788,-11.0813,-6.09469,36.5681,24.3788,5.54063
27.7031,18.2841,6.09469,-33.2438,0,-6.09469,-16.6219,-18.2841,-11.0813,22.1625,27.7031,6.09469
30.4734,11.0813,11.0813,-30.4734,-5.54063,-5.54063,-24.3788,-5.54063,0,30.4734,18.2841,0
33.2438,18.2841,6.09469,-27.7031,-6.09469,-6.09469,-27.7031,-18.2841,-5.54063,33.2438,16.6219,6.09469
36.5681,16.6219,11.0813,-24.3788,-11.0813,-5.54063,-30.4734,-11.0813,-6.09469,36.5681,12.1894,5.54063
33.2438,48.7575,6.09469,-22.1625,-6.09469,-6.09469,-22.1625,-18.2841,-5.54063,66.4875,11.0813,6.09469
36.5681,16.6219,5.54063,-18.2841,-5.54063,0,-30.4734,-11.0813,0,30.4734,18.2841,5.54063
55.4063,18.2841,6.09469,-27.7031,-6.09469,-6.09469,-22.1625,-12.1894,-5.54063,33.2438,11.0813,6.09469
30.4734,16.6219,11.0813,-24.3788,-11.0813,-5.54063,-18.2841,-11.0813,0,24.3788,12.1894,0
33.2438,12.1894,6.09469,-27.7031,-6.09469,-6.09469,-22.1625,-12.1894,-11.0813,27.7031,11.0813,6.09469
0,16.6219,0,-73.1363,-11.0813,-5.54063,-24.3788,-22.1625,0,42.6628,12.1894,11.0813
33.2438,18.2841,12.1894,-22.1625,0,0,-44.325,-12.1894,0,33.2438,11.0813,6.09469
36.5681,11.0813,5.54063,-24.3788,-11.0813,-11.0813,-30.4734,-11.0813,-6.09469,36.5681,18.2841,0
33.2438,12.1894,6.09469,-22.1625,-6.09469,0,-27.7031,-18.2841,-5.54063,33.2438,11.0813,6.09469
30.4734,16.6219,5.54063,-30.4734,-5.54063,-11.0813,-30.4734,-5.54063,0,30.4734,18.2841,11.0813
27.7031,12.1894,12.1894,-22.1625,-12.1894,0,-22.1625,-18.2841,-5.54063,27.7031,16.6219,0
30.4734,16.6219,11.0813,-24.3788,-11.0813,-5.54063,0,-16.6219,-6.09469,30.4734,18.2841,5.54063
27.7031,18.2841,6.09469,-27.7031,-6.09469,-6.09469,-22.1625,-12.1894,-5.54063,38.7844,11.0813,6.09469
42.6628,16.6219,5.54063,-36.5681,-5.54063,0,-18.2841,-19.2841,-6.09469,36.5681,18.2841,11.0813
33.2438,24.3788,6.09469,-22.1625,-12.1894,-12.1894,-22.1625,-11.0813,-5.54063,38.7844,16.6219,0
30.4734,16.6219,11.0813,0,-5.54063,0,-24.3788,-18.2841,-6.09469,36.5681,12.1894,5.54063
27.7031,42.6628,6.09469,-27.7031,-6.09469,-6.09469,-22.1625,-11.0813,-5.54063,27.7031,16.6219,0
67.0416,16.6219,5.54063,-48.7575,-16.6219,-5.54063,-30.4734,-12.1894,0,67.0416,12.1894,16.6219
27.7031,12.1894,12.1894,-16.6219,-6.09469,-6.09469,-49.8656,-33.2438,-5.54063,33.2438,11.0813,6.09469
36.5681,16.6219,11.0813,-24.3788,-11.0813,-11.0813,-24.3788,-12.1894,0,42.6628,12.1894,5.54063
33.2438,18.2841,6.09469,-27.7031,-6.09469,-6.09469,-22.1625,-16.6219,-5.54063,27.7031,11.0813,6.09469
36.5681,16.6219,11.0813,-36.5681,-5.54063,-11.0813,-24.3788,-6.09469,-6.09469,30.4734,12.1894,5.54063
27.7031,12.1894,6.09469,-27.7031,-6.09469,0,-22.1625,-16.6219,-5.54063,22.1625,11.0813,6.09469
30.4734,16.6219,11.0813,-30.4734,-5.54063,0,-24.3788,-6.09469,-6.09469,36.5681,0,5.54063
27.7031,18.2841,6.09469,-22.1625,-12.1894,-6.09469,-22.1625,-16.6219,-5.54063,27.7031,22.1625,12.1894
36.5681,16.6219,16.6219,-30.4734,-5.54063,-11.0813,-30.4734,-6.09469,-6.09469,42.6628,12.1894,5.54063
27.7031,0,6.09469,-16.6219,-6.09469,-6.09469,-33.2438,-11.0813,-5.54063,33.2438,16.6219,0
42.6628,38.7844,5.54063,-18.2841,-5.54063,-5.54063,-24.3788,-12.1894,-6.09469,67.0416,18.2841,11.0813
33.2438,18.2841,6.09469,-22.1625,-6.09469,-6.09469,-27.7031,-11.0813,-11.0813,22.1625,16.6219,6.09469
67.0416,22.1625,11.0813,-24.3788,-5.54063,-5.54063,-24.3788,-12.1894,-12.1894,30.4734,12.1894,5.54063
27.7031,12.1894,6.09469,-60.9469,-6.09469,-6.09469,-22.1625,-11.0813,0,33.2438,16.6219,6.09469
30.4734,16.6219,5.54063,-30.4734,-5.54063,-5.54063,-48.7575,-12.1894,-12.1894,36.5681,30.4734,5.54063
33.2438,18.2841,6.09469,-27.7031,-18.2841,-6.09469,-22.1625,-11.0813,-5.54063,38.7844,16.6219,6.09469
42.6628,11.0813,11.0813,-18.2841,0,-11.0813,-30.4734,-12.1894,-6.09469,36.5681,6.09469,5.54063
27.7031,18.2841,0,-22.1625,-12.1894,-6.09469,-27.7031,-16.6219,0,27.7031,16.6219,12.1894
36.5681,11.0813,11.0813,-24.3788,-5.54063,-5.54063,-30.4734,-12.1894,-12.1894,30.4734,6.09469,5.54063
27.7031,18.2841,6.09469,-22.1625,-6.09469,-12.1894,-27.7031,-27.7031,-5.54063,33.2438,16.6219,6.09469
24.3788,16.6219,5.54063,-24.3788,-5.54063,0,-24.3788,-12.1894,-6.09469,0,6.09469,5.54063
27.7031,30.4734,6.09469,-33.2438,-6.09469,-6.09469,-16.6219,-16.6219,0,33.2438,16.6219,6.09469
30.4734,16.6219,16.6219,-36.5681,-11.0813,-5.54063,-24.3788,-6.09469,-12.1894,42.6628,6.09469,5.54063
33.2438,24.3788,0,-22.1625,-6.09469,-6.09469,-16.6219,-16.6219,-5.54063,33.2438,16.6219,0
